active,endTime,dryRun,failedFiles,jobDetailsUri,jobId,numBytesCopied,numBytesCopyFailed,numBytesDryRun,numBytesExpected,numBytesSkipped,numFilesCopied,numFilesCopyFailed,numFilesDeleted,numFilesDryRun,numFilesExpected,numFilesSkipped,progress,remainingTime,runAsUser,snapshottedDirs,throughput,id,name,resultDataUrl,resultMessage,clusterName,serviceName,startTime,success
true,,,,,,,,,,,,,,,,,,,,,,415404,HdfsReplicationCommand,,,"""default""","""hdfs01""",2021-09-08T15:40:01.411Z,
false,2021-09-07T15:40:00.408Z,,,,,,,,,,,,,,,,,,,,,415308,HdfsReplicationCommand,,"Another HDFS replication command (id 415213) with clashing source (/client/marketrisk/rfds/warehouse) and destination (/client/marketrisk/rfds/warehouse) paths is in progress.","""default""","""hdfs01""",2021-09-07T15:40:00.408Z,false
false,2021-09-07T21:05:47.045Z,false,[],"""/cmf/services/16/applications/?startTime=1630942803609&endTime=1631048747045#filters=application_id=job_1630821152009_0212""","""job_1630821152009_0212""",89711598250,0,0,57302052151975,57212340553725,177644,0,444409,0,31328179,31150535,100,0,"""svc_hubdp""","[""/client/marketrisk/rfds/warehouse""]",21711.4,415213,HdfsReplicationCommand,"/cmf/command/415213/download","HDFS replication command succeeded.","""default""","""hdfs01""",2021-09-06T15:40:03.609Z,true
